name,number,one,four,score,five,three,two
轩辕剑之汉之云,5054,44.8%,5.8%,4.0,4.8%,16.8%,27.7%
无证之罪,57920,1.0%,45.5%,8.2,35.3%,15.7%,2.5%
云巅之上2,5753,14.4%,17.6%,5.6,7.1%,38.7%,22.1%
花间提壶方大厨,25715,2.5%,43.6%,7.8,27.8%,22.3%,3.8%
九州海上牧云,56593,6.9%,27.5%,6.9,22.5%,30.6%,12.5%
废柴兄弟5泰爽,2013,31.9%,8.2%,4.4,2.9%,24.6%,32.5%
飘香剑雨,4221,16.3%,27.5%,6.1,13.1%,26.3%,16.9%
鬼吹灯之牧野诡事,16362,72.3%,2.2%,2.9,1.8%,7.0%,16.7%
蜀山战纪2踏火行歌,6140,42.7%,21.4%,4.5,3.1%,18.0%,14.9%
盲侠大律师,13201,0.7%,51.2%,7.8,21.0%,24.7%,2.4%
高能医少,677,9.1%,24.7%,6.3,14.3%,32.5%,19.5%
天泪传奇之凤凰无双,2714,40.0%,5.7%,4.1,3.1%,22.6%,28.5%
传奇大亨,2317,52.4%,4.0%,3.5,1.9%,12.1%,29.5%
大话西游之爱你一万年,9184,74.4%,3.4%,3.2,6.7%,5.9%,9.6%
你好旧时光,64224,1.5%,36.2%,8.5,47.9%,12.4%,2.0%
狐狸的夏天第二季,11106,4.2%,34.4%,6.8,11.1%,40.6%,9.7%
鬼吹灯之黄皮子坟,25709,15.4%,12.9%,5.3,5.8%,36.3%,29.6%
大王不容易,2602,16.1%,12.7%,5.4,8.0%,37.4%,25.9%
使徒行者2,23873,1.6%,37.1%,7.0,12.2%,40.8%,8.3%
班长大人,1253,8.6%,34.1%,6.4,9.4%,33.0%,15.0%
独步天下,5274,39.2%,4.0%,3.9,2.0%,18.7%,36.2%
小戏骨红楼梦,22705,1.0%,27.6%,9.1,66.0%,4.5%,0.8%
开封奇谈,1279,12.9%,26.7%,6.1,11.9%,28.9%,19.6%
溏心风暴3,9672,5.2%,21.5%,6.2,8.5%,47.0%,17.8%
致我们单纯的小美好,54743,4.6%,34.3%,7.2,22.0%,30.8%,8.3%
蔚蓝50米,323,3.3%,40.0%,7.2,16.7%,33.3%,6.7%
龙日一你死定了,2911,70.2%,2.1%,2.9,1.4%,8.4%,18.0%
柒个我,20572,26.7%,12.4%,5.1,10.3%,27.1%,23.4%
逆袭之星途璀璨,4427,39.5%,4.9%,4.1,4.8%,20.0%,30.8%
无心法师2,18621,5.0%,22.7%,6.3,10.4%,44.0%,18.0%
双世宠妃,17679,8.5%,22.7%,6.1,8.7%,43.6%,16.4%
乡村爱情10,896,4.3%,28.9%,7.0,19.6%,36.1%,11.1%
国民老公,3610,47.2%,5.2%,3.9,3.5%,20.2%,23.9%
杀不死,17990,1.3%,43.1%,8.2,36.9%,16.0%,2.7%
警察锅哥 第一季+第二季,1118,7.3%,38.8%,7.1,18.2%,30.9%,4.8%
少年有点酷,2301,5.6%,34.7%,7.5,28.6%,24.4%,6.8%
花落宫廷错流年,445,69.5%,2.3%,3.0,1.5%,12.2%,14.5%
幻城凡世,395,60.9%,3.3%,3.6,6.5%,15.2%,14.1%
求婚大作战,79716,0.3%,32.4%,8.7,53.1%,12.9%,1.4%
幽兰湖之御厨驾到,298,8.1%,53.5%,6.8,5.1%,28.3%,5.1%
柜中美人,3001,32.9%,6.1%,4.4,4.8%,24.1%,32.1%
烈火如歌,22970,25.5%,14.9%,5.4,13.4%,24.7%,21.5%
春风十里不如你,43401,9.2%,22.1%,6.2,11.8%,38.3%,18.5%
镇魂街,6387,15.1%,24.4%,5.9,8.9%,34.8%,16.9%
军师联盟2虎啸龙吟,40458,3.9%,36.6%,8.4,47.7%,9.6%,2.1%
将军在上,11973,20.5%,11.9%,5.1,5.8%,33.2%,28.6%
白夜追凶,209530,0.4%,31.5%,9.0,60.8%,6.5%,0.7%
终极一班5,730,38.8%,5.0%,4.4,9.9%,19.0%,27.3%
奇星记,1951,37.6%,8.6%,4.3,4.9%,20.0%,29.0%
颤抖吧！阿部,15565,3.3%,38.5%,7.3,21.3%,28.3%,8.6%
推理笔记,3292,23.3%,6.4%,4.5,2.6%,29.8%,37.9%
醉玲珑,23492,19.6%,13.6%,5.5,12.3%,30.4%,24.1%
醉玲珑番外之醉玲珑梦,1380,7.6%,29.1%,6.6,12.7%,41.8%,8.9%
超自然事件之坠龙事件,355,42.3%,4.9%,3.8,0.6%,19.0%,33.1%
超级大山炮之夺宝奇兵,575,60.1%,1.4%,3.3,3.1%,11.5%,23.8%
降龙大师,303,31.6%,7.6%,4.5,3.8%,29.1%,27.8%
陈翔六点半之废话少说,2586,8.2%,23.5%,6.2,10.9%,39.7%,17.8%
伏妖·白鱼镇,924,9.1%,20.6%,6.0,7.0%,44.9%,18.3%
血战铜锣湾3,115,49.1%,0.0%,3.6,5.5%,12.7%,32.7%
牧野诡事之金豹子,221,48.3%,0.8%,3.4,0.8%,12.7%,37.3%
小小爸爸,934,25.8%,9.7%,4.7,5.4%,26.9%,32.3%
大嫂,1712,52.1%,2.4%,3.4,1.6%,13.0%,30.8%
寻龙契约,177,63.6%,3.0%,3.3,6.1%,3.0%,24.2%
哀乐女子天团,4397,2.1%,36.5%,6.8,8.9%,43.8%,8.7%
暴走刑警,366,4.9%,27.2%,6.5,12.5%,40.2%,15.2%
西谎极落之太爆太子太空舱,4381,4.9%,23.4%,6.2,5.9%,48.7%,17.1%
海带,1462,4.3%,32.4%,6.8,13.3%,38.6%,11.4%
再见路星河,1720,10.4%,18.6%,5.6,6.2%,36.1%,28.7%
陆家嘴风暴：不眠之夜,510,2.3%,30.9%,7.2,21.9%,35.8%,9.0%
系列网络电影《杀无赦》,102381,1.0%,44.8%,7.3,14.3%,35.1%,4.8%
我是好人,845,2.0%,33.9%,7.3,19.9%,38.6%,5.6%
末世人间道,1134,11.9%,15.9%,5.7,5.0%,47.6%,19.6%
激斗街篮,253,10.7%,10.7%,5.4,10.7%,28.6%,39.3%
大乐师·为爱配乐,442,3.5%,18.9%,6.3,11.0%,49.1%,17.5%
大梦西游4,679,27.1%,6.2%,4.8,7.8%,31.0%,27.9%
大明锦衣卫2,210,31.7%,5.0%,4.3,3.3%,26.7%,33.3%
魔国志,746,35.0%,9.7%,4.4,3.9%,23.3%,28.2%
万妖之城,972,13.6%,29.4%,5.8,6.8%,26.4%,23.8%
蜀山降魔传,9854,63.7%,1.1%,3.0,0.9%,9.0%,25.3%
黄飞鸿之南北英雄,48135,10.0%,11.2%,5.4,3.5%,45.9%,29.4%
灵魂摆渡·黄泉,29456,2.5%,39.2%,7.2,15.7%,35.1%,7.6%
狄仁杰之轮回图,257,39.2%,0.8%,4.0,2.5%,27.5%,30.0%
功夫机器之北腿,243,72.0%,2.3%,2.9,1.5%,9.8%,14.4%
济公之英雄归位,632,69.1%,2.2%,3.1,2.9%,8.7%,17.1%
包小姐的包 ,165,48.2%,1.2%,3.7,4.8%,18.1%,27.7%
不良街区,733,18.6%,12.1%,5.9,22.5%,20.9%,25.8%
花悸,176,20.8%,12.5%,5.8,16.7%,34.7%,15.3%
无罪之城,440,66.9%,0.0%,3.0,3.0%,6.0%,24.1%
新僵尸先生2,924,51.9%,1.3%,3.4,2.1%,12.3%,32.4%
大唐嘻游记,133,37.0%,5.6%,4.7,11.1%,27.8%,18.5%
孤岛终结,993,5.7%,30.9%,6.5,9.3%,41.5%,12.6%
魔游纪4白骨之姬,157,8.4%,12.0%,5.8,7.2%,50.6%,21.7%
伪装大师1：维多女人,235,8.5%,31.9%,6.5,10.6%,39.0%,9.9%
伪装大师2：完美骗局,178,8.1%,31.3%,6.4,8.1%,41.4%,11.1%
有言在仙,296,26.7%,8.3%,5.1,10.8%,30.8%,23.3%
教数学的体育老师,14550,4.2%,36.2%,7.0,16.0%,35.9%,7.6%
最后的武林*前传,305359,0.3%,41.0%,8.6,44.4%,13.0%,1.2%
伪装大师,130,30.2%,5.8%,4.6,7.0%,29.1%,27.9%
熟悉的陌生人,655,0.2%,55.1%,7.8,19.4%,23.5%,1.7%
镇魂法师,1335,15.6%,8.8%,5.0,3.8%,36.1%,35.7%
西河口秘闻,213,30.7%,6.7%,4.3,0.0%,32.0%,30.7%
九门提督,29388,0.8%,40.3%,7.2,13.2%,40.0%,5.8%
爹地,195,6.6%,8.8%,5.5,5.1%,50.7%,28.7%
迷失地铁,161,0.0%,40.3%,7.3,14.3%,42.0%,3.4%
反诈风暴之不可饶恕,109,42.6%,0.0%,3.4,0.0%,14.8%,42.6%
奇葩说4,21602,0.8%,38.0%,8.6,48.2%,11.6%,1.5%
了不起的孩子2,207,4.2%,31.0%,7.5,26.8%,35.2%,2.8%
偶像练习生,10311,22.5%,14.7%,5.4,10.8%,32.2%,19.8%
吐槽大会第2季,12106,2.4%,34.6%,7.0,13.2%,41.4%,8.4%
放开我北鼻2,5646,1.5%,39.0%,8.0,33.9%,23.5%,2.1%
拜托了冰箱3,5902,3.2%,38.9%,7.4,22.4%,29.1%,6.4%
脑大洞开,951,5.6%,35.6%,6.8,14.4%,32.6%,11.8%
脑力男人时代,1853,7.0%,27.8%,6.4,9.0%,42.2%,14.0%
约吧大明星2,1380,2.9%,31.5%,7.8,35.9%,23.2%,6.6%
明日之子,4218,25.7%,17.1%,5.5,12.0%,28.5%,16.8%
饭局的诱惑2,8537,1.5%,44.1%,7.4,18.1%,31.0%,5.2%
脱口秀大会,5243,4.9%,33.7%,6.8,12.5%,37.6%,11.4%
王者出击,2506,47.9%,10.2%,4.2,6.7%,16.9%,18.4%
见字如面2,5821,0.3%,21.5%,9.4,74.1%,3.7%,0.5%
我们的侣行,2289,0.8%,24.2%,9.1,66.7%,7.2%,1.1%
晓说,6099,0.6%,37.9%,8.8,51.3%,9.1%,1.0%
了不起的匠人2,127,1.9%,46.3%,8.6,44.4%,5.6%,1.9%
圆桌派2,6887,0.1%,23.9%,9.4,72.3%,3.4%,0.3%
火星情报局3,6381,2.8%,40.4%,7.5,22.8%,27.8%,6.2%
举杯呵呵喝,483,23.2%,4.1%,4.4,3.5%,24.7%,44.4%
小手牵小狗,1980,1.5%,34.7%,8.0,36.6%,21.5%,5.8%
观复嘟嘟丁酉版,430,1.3%,36.5%,8.7,51.7%,10.4%,0.0%
火星研究院,386,27.7%,16.1%,5.1,7.3%,28.5%,20.4%
锋味,568,14.4%,18.5%,6.3,18.9%,33.3%,14.8%
爱的时差,380,12.0%,18.0%,5.8,8.0%,40.0%,22.0%
一千零一夜,6141,0.2%,19.7%,9.4,76.6%,3.2%,0.3%
超次元偶像,143,44.6%,9.2%,4.4,6.2%,27.7%,12.3%
三日为期,1642,0.0%,34.0%,8.9,56.9%,8.1%,1.0%
你说的都对,3430,1.2%,42.1%,8.4,42.5%,11.5%,2.7%
